,Country,drug,percentage_of_post,code,latitude,longitude,ISO3
0,BELGIUM,opioids,18.6,BE,50.8503,4.3517,BEL
1,BULGARIA,opioids,62,BG,42.6977,23.3219,BGR
2,CZECHIA,opioids,37.7,CZ,50.088,14.4208,CZE
3,DENMARK,opioids,12.5,DK,55.6761,12.5683,DNK
4,GERMANY,opioids,13.8,DE,52.52,13.405,DEU
5,ESTONIA,opioids,64.9,EE,59.437,24.7536,EST
6,IRELAND,opioids,33.7,IE,53.3498,6.2603,IRL
7,GREECE,opioids,50,GR,37.9838,23.7275,GRC
8,SPAIN,opioids,22.1,ES,40.4168,-3.7038,ESP
9,FRANCE,opioids,25.6,FR,48.8566,2.3522,FRA
10,CROATIA,opioids,0,HR,45.815,15.9819,HRV
11,ITALY,opioids,37.1,IT,41.9028,12.4964,ITA
12,CYPRUS,opioids,12.4,CY,35.1667,33.3667,CYP
13,LATVIA,opioids,33.4,LV,56.9496,24.1052,LVA
14,LITHUANIA,opioids,78.3,LT,54.6872,25.2797,LTU
15,LUXEMBOURG,opioids,40.5,LU,49.6117,6.1319,LUX
16,HUNGARY,opioids,2,HU,47.4979,19.0402,HUN
17,MALTA,opioids,49.7,MT,35.9042,14.5189,MLT
18,NETHERLANDS,opioids,11.5,NL,52.3676,4.9041,NLD
19,AUSTRIA,opioids,45.8,AT,48.8566,2.3522,AUT
20,POLAND,opioids,13.2,PL,52.2297,21.0122,POL
21,PORTUGAL,opioids,36.8,PT,38.7223,-9.1393,PRT
22,ROMANIA,opioids,20.9,RO,44.4268,26.1025,ROU
23,SLOVENIA,opioids,91.4,SI,46.0569,14.5058,SVN
24,SLOVAKIA,opioids,11.8,SK,48.1486,17.1077,SVK
25,FINLAND,opioids,39.1,FI,60.1695,24.9354,FIN
26,TÜRKIYE,opioids,47.2,TR,41.015137,28.97953,TUR
27,SWEDEN,opioids,26.9,SE,59.3293,18.0686,SWE
28,NORWAY,opioids,18.1,NO,59.911491,10.757933,NOR
30,BELGIUM,cocaine,29.6,BE,50.8503,4.3517,BEL
31,BULGARIA,cocaine,7.6,BG,42.6977,23.3219,BGR
32,CZECHIA,cocaine,0.9,CZ,50.088,14.4208,CZE
33,DENMARK,cocaine,19.7,DK,55.6761,12.5683,DNK
34,GERMANY,cocaine,8.5,DE,52.52,13.405,DEU
35,ESTONIA,cocaine,2.1,EE,59.437,24.7536,EST
36,IRELAND,cocaine,30.2,IE,53.3498,6.2603,IRL
37,GREECE,cocaine,17.7,GR,37.9838,23.7275,GRC
38,SPAIN,cocaine,45.4,ES,40.4168,-3.7038,ESP
39,FRANCE,cocaine,11.8,FR,48.8566,2.3522,FRA
40,CROATIA,cocaine,0,HR,45.815,15.9819,HRV
41,ITALY,cocaine,38.8,IT,41.9028,12.4964,ITA
42,CYPRUS,cocaine,29.5,CY,35.1667,33.3667,CYP
43,LATVIA,cocaine,3.4,LV,56.9496,24.1052,LVA
44,LITHUANIA,cocaine,1.7,LT,54.6872,25.2797,LTU
45,LUXEMBOURG,cocaine,33.2,LU,49.6117,6.1319,LUX
46,HUNGARY,cocaine,5.1,HU,47.4979,19.0402,HUN
47,MALTA,cocaine,34,MT,35.9042,14.5189,MLT
48,NETHERLANDS,cocaine,24.3,NL,52.3676,4.9041,NLD
49,AUSTRIA,cocaine,14.1,AT,48.8566,2.3522,AUT
50,POLAND,cocaine,2.2,PL,52.2297,21.0122,POL
51,PORTUGAL,cocaine,21.8,PT,38.7223,-9.1393,PRT
52,ROMANIA,cocaine,2.7,RO,44.4268,26.1025,ROU
53,SLOVENIA,cocaine,4.8,SI,46.0569,14.5058,SVN
54,SLOVAKIA,cocaine,1,SK,48.1486,17.1077,SVK
55,FINLAND,cocaine,0.7,FI,60.1695,24.9354,FIN
56,TÜRKIYE,cocaine,2.7,TR,41.015137,28.97953,TUR
57,NORWAY,cocaine,3.2,NO,59.911491,10.757933,NOR
58,SWEDEN,cocaine,2,SE,59.3293,18.0686,SWE
60,BELGIUM,amphetamines,9.9,BE,50.8503,4.3517,BEL
