,drug,year,total_drug_forum,Country,latitude,longitude,ISO3
0,COCAINE,2020,1403,Netherlands,52.3676,4.9041,NLD
1,COCAINE,2021,1986,Netherlands,52.3676,4.9041,NLD
2,COCAINE,2022,1174,Netherlands,52.3676,4.9041,NLD
3,COCAINE,2023,1062,Netherlands,52.3676,4.9041,NLD
4,COCAINE,2024,62,Netherlands,52.3676,4.9041,NLD
5,INHALANTS,2020,2,Netherlands,52.3676,4.9041,NLD
6,INHALANTS,2021,2,Netherlands,52.3676,4.9041,NLD
7,INHALANTS,2022,1,Netherlands,52.3676,4.9041,NLD
8,INHALANTS,2023,1,Netherlands,52.3676,4.9041,NLD
9,MDMA,2020,6,Netherlands,52.3676,4.9041,NLD
10,MDMA,2021,12,Netherlands,52.3676,4.9041,NLD
11,MDMA,2022,4,Netherlands,52.3676,4.9041,NLD
12,MDMA,2023,3,Netherlands,52.3676,4.9041,NLD
13,fentanyl,2020,13,Netherlands,52.3676,4.9041,NLD
14,fentanyl,2021,30,Netherlands,52.3676,4.9041,NLD
15,fentanyl,2022,15,Netherlands,52.3676,4.9041,NLD
16,fentanyl,2023,13,Netherlands,52.3676,4.9041,NLD
17,heroin,2020,803,Netherlands,52.3676,4.9041,NLD
18,heroin,2021,2018,Netherlands,52.3676,4.9041,NLD
19,heroin,2022,1119,Netherlands,52.3676,4.9041,NLD
20,heroin,2023,857,Netherlands,52.3676,4.9041,NLD
21,heroin,2024,39,Netherlands,52.3676,4.9041,NLD
22,marijuana,2020,6147,Netherlands,52.3676,4.9041,NLD
23,marijuana,2021,12685,Netherlands,52.3676,4.9041,NLD
24,marijuana,2022,7574,Netherlands,52.3676,4.9041,NLD
25,marijuana,2023,6992,Netherlands,52.3676,4.9041,NLD
26,marijuana,2024,280,Netherlands,52.3676,4.9041,NLD
27,oxy,2020,875,Netherlands,52.3676,4.9041,NLD
28,oxy,2021,1905,Netherlands,52.3676,4.9041,NLD
29,oxy,2022,1839,Netherlands,52.3676,4.9041,NLD
30,oxy,2023,1607,Netherlands,52.3676,4.9041,NLD
31,oxy,2024,65,Netherlands,52.3676,4.9041,NLD
