Country,Year,Metabolite,litre/day per 1 000 inhabitants,source
AT,2020,MDMA,14.054444444444444,waste water
AT,2020,amphetamine,18.16111111111111,waste water
AT,2020,cannabis,50.41555555555556,waste water
AT,2020,cocaine,182.06666666666666,waste water
AT,2020,methamphetamine,3.716666666666667,waste water
AT,2021,MDMA,6.029999999999999,waste water
AT,2021,amphetamine,20.513333333333335,waste water
AT,2021,cannabis,64.14111111111112,waste water
AT,2021,cocaine,183.46777777777777,waste water
AT,2021,methamphetamine,3.7844444444444445,waste water
AT,2022,MDMA,8.712941176470588,waste water
AT,2022,amphetamine,19.248823529411766,waste water
AT,2022,cannabis,57.0035294117647,waste water
AT,2022,cocaine,205.93,waste water
AT,2022,methamphetamine,8.610588235294117,waste water
BE,2020,MDMA,41.90333333333333,waste water
BE,2020,amphetamine,217.12666666666667,waste water
BE,2020,cocaine,688.7533333333334,waste water
BE,2020,methamphetamine,17.136666666666667,waste water
BE,2021,MDMA,58.775,waste water
BE,2021,amphetamine,250.84,waste water
BE,2021,cocaine,1174.98,waste water
BE,2021,methamphetamine,55.035,waste water
BE,2022,MDMA,93.91,waste water
BE,2022,amphetamine,324.485,waste water
BE,2022,cocaine,1683.0949999999998,waste water
BE,2022,methamphetamine,39.8,waste water
CH,2020,MDMA,21.985,waste water
CH,2020,amphetamine,43.4675,waste water
CH,2020,cannabis,81.275,waste water
CH,2020,cocaine,658.7175,waste water
CH,2020,methamphetamine,26.545,waste water
CH,2021,MDMA,21.326,waste water
CH,2021,amphetamine,59.017999999999994,waste water
CH,2021,cocaine,797.902,waste water
CH,2021,methamphetamine,41.88,waste water
CH,2022,MDMA,28.84,waste water
CH,2022,amphetamine,44.565,waste water
CH,2022,cannabis,138.9875,waste water
CH,2022,cocaine,768.5625,waste water
CH,2022,methamphetamine,36.3725,waste water
CY,2020,MDMA,2.56,waste water
CY,2020,amphetamine,3.41,waste water
CY,2020,cocaine,43.9,waste water
CY,2020,methamphetamine,18.91,waste water
CY,2021,MDMA,7.74,waste water
CY,2021,amphetamine,6.772,waste water
CY,2021,cocaine,62.1,waste water
CY,2021,methamphetamine,8.512,waste water
CY,2022,MDMA,1.6320000000000001,waste water
CY,2022,amphetamine,5.6259999999999994,waste water
CY,2022,cocaine,48.64,waste water
CY,2022,ketamine,0.578,waste water
CY,2022,methamphetamine,27.577999999999996,waste water
CZ,2020,MDMA,21.14666666666667,waste water
CZ,2020,amphetamine,49.15333333333333,waste water
CZ,2020,cannabis,87.19,waste water
CZ,2020,cocaine,125.61666666666667,waste water
CZ,2020,methamphetamine,473.10999999999996,waste water
CZ,2021,MDMA,15.824000000000002,waste water
CZ,2021,amphetamine,44.814,waste water
CZ,2021,cannabis,99.428,waste water
CZ,2021,cocaine,96.418,waste water
CZ,2021,methamphetamine,481.02,waste water
CZ,2022,MDMA,23.32,waste water
CZ,2022,amphetamine,55.65599999999999,waste water
CZ,2022,cannabis,92.592,waste water
CZ,2022,cocaine,179.096,waste water
CZ,2022,ketamine,0.64,waste water
CZ,2022,methamphetamine,670.11,waste water
DE,2020,MDMA,14.927000000000001,waste water
DE,2020,amphetamine,89.00999999999999,waste water
DE,2020,cocaine,161.737,waste water
DE,2020,methamphetamine,124.88699999999999,waste water
DE,2021,MDMA,15.858888888888892,waste water
DE,2021,cocaine,175.05333333333334,waste water
DE,2021,methamphetamine,48.0,waste water
DE,2022,MDMA,13.889,waste water
DE,2022,amphetamine,136.679,waste water
DE,2022,cocaine,187.087,waste water
DE,2022,methamphetamine,110.54,waste water
DK,2021,MDMA,23.015,waste water
DK,2021,amphetamine,91.125,waste water
DK,2021,cocaine,414.25,waste water
DK,2021,methamphetamine,23.845,waste water
DK,2022,MDMA,29.25,waste water
DK,2022,amphetamine,70.59,waste water
DK,2022,cocaine,647.35,waste water
DK,2022,ketamine,16.82,waste water
DK,2022,methamphetamine,25.2,waste water
EE,2021,cannabis,31.535000000000004,waste water
EE,2021,cocaine,51.495000000000005,waste water
EE,2022,MDMA,13.8,waste water
EE,2022,amphetamine,116.25999999999999,waste water
EE,2022,cannabis,52.370000000000005,waste water
EE,2022,cocaine,117.50500000000001,waste water
EE,2022,methamphetamine,14.96,waste water
ES,2020,MDMA,16.490000000000002,waste water
ES,2020,amphetamine,0.0,waste water
ES,2020,cannabis,80.815,waste water
ES,2020,cocaine,524.3399999999999,waste water
ES,2020,methamphetamine,0.0,waste water
ES,2021,MDMA,14.238,waste water
ES,2021,amphetamine,25.05333333333333,waste water
ES,2021,cannabis,63.04666666666666,waste water
ES,2021,cocaine,580.5766666666667,waste water
ES,2021,methamphetamine,22.97,waste water
ES,2022,MDMA,29.16,waste water
ES,2022,amphetamine,23.3,waste water
ES,2022,cannabis,94.88833333333332,waste water
ES,2022,cocaine,795.9783333333334,waste water
ES,2022,ketamine,11.223333333333334,waste water
ES,2022,methamphetamine,13.354000000000003,waste water
FI,2020,MDMA,19.006666666666668,waste water
FI,2020,amphetamine,134.53629629629629,waste water
FI,2020,cocaine,12.66037037037037,waste water
FI,2020,methamphetamine,3.1244444444444444,waste water
FI,2021,MDMA,18.505,waste water
FI,2021,amphetamine,215.33999999999997,waste water
FI,2021,cocaine,30.47,waste water
FI,2021,methamphetamine,2.0075000000000003,waste water
FI,2022,MDMA,5.495925925925927,waste water
FI,2022,amphetamine,84.10296296296295,waste water
FI,2022,cocaine,17.516296296296296,waste water
FI,2022,methamphetamine,10.453703703703704,waste water
FR,2020,MDMA,32.29,waste water
FR,2020,amphetamine,0.0,waste water
FR,2020,cannabis,163.69,waste water
FR,2020,cocaine,410.58,waste water
FR,2020,methamphetamine,0.0,waste water
FR,2021,MDMA,56.95,waste water
FR,2021,amphetamine,0.0,waste water
FR,2021,cannabis,117.74,waste water
FR,2021,cocaine,427.42,waste water
FR,2021,methamphetamine,0.0,waste water
GB,2021,MDMA,18.07,waste water
GB,2021,amphetamine,31.41,waste water
GB,2021,cocaine,750.71,waste water
GB,2021,methamphetamine,6.94,waste water
GB,2022,MDMA,9.79,waste water
GB,2022,amphetamine,27.24,waste water
GB,2022,cannabis,0.0,waste water
GB,2022,ketamine,203.62,waste water
GB,2022,methamphetamine,4.79,waste water
GR,2020,cannabis,30.270000000000003,waste water
GR,2020,methamphetamine,9.155,waste water
GR,2021,MDMA,3.38,waste water
GR,2021,amphetamine,12.13,waste water
GR,2021,cannabis,38.73,waste water
GR,2021,cocaine,95.85,waste water
GR,2021,methamphetamine,10.61,waste water
GR,2022,MDMA,2.39,waste water
GR,2022,amphetamine,4.93,waste water
GR,2022,cocaine,103.99,waste water
GR,2022,ketamine,0.0,waste water
HR,2020,MDMA,41.38,waste water
HR,2020,amphetamine,1013.84,waste water
HR,2020,cannabis,228.93,waste water
HR,2020,cocaine,510.24,waste water
HR,2020,methamphetamine,6.14,waste water
HR,2021,MDMA,28.26,waste water
HR,2021,amphetamine,151.41,waste water
HR,2021,cannabis,132.9,waste water
HR,2021,cocaine,548.62,waste water
HR,2021,methamphetamine,0.0,waste water
HR,2022,MDMA,26.86,waste water
HR,2022,amphetamine,99.81,waste water
HR,2022,cannabis,96.34,waste water
HR,2022,cocaine,401.19,waste water
HR,2022,methamphetamine,0.0,waste water
IS,2020,MDMA,44.14,waste water
IS,2020,amphetamine,332.47,waste water
IS,2020,cannabis,116.35,waste water
IS,2020,cocaine,283.25,waste water
IS,2020,methamphetamine,35.78,waste water
IS,2022,MDMA,39.5,waste water
IS,2022,cannabis,121.63,waste water
IS,2022,cocaine,522.99,waste water
IS,2022,methamphetamine,43.9,waste water
IT,2020,MDMA,2.25,waste water
IT,2020,amphetamine,0.995,waste water
IT,2020,cannabis,40.75,waste water
IT,2020,cocaine,367.27,waste water
IT,2020,methamphetamine,6.205,waste water
IT,2021,MDMA,1.9649999999999999,waste water
IT,2021,amphetamine,2.84,waste water
IT,2021,cannabis,40.68,waste water
IT,2021,cocaine,376.19500000000005,waste water
IT,2021,methamphetamine,7.205,waste water
IT,2022,MDMA,3.39,waste water
IT,2022,amphetamine,0.0,waste water
IT,2022,cannabis,48.385,waste water
IT,2022,cocaine,378.49,waste water
IT,2022,ketamine,13.83,waste water
IT,2022,methamphetamine,5.119999999999999,waste water
LT,2020,MDMA,22.316666666666663,waste water
LT,2020,amphetamine,42.04,waste water
LT,2020,cocaine,75.41666666666667,waste water
LT,2020,methamphetamine,3.8066666666666666,waste water
LT,2021,MDMA,14.773333333333332,waste water
LT,2021,amphetamine,56.99666666666667,waste water
LT,2021,cocaine,104.50999999999999,waste water
LT,2021,methamphetamine,28.98333333333333,waste water
LT,2022,MDMA,17.743333333333332,waste water
LT,2022,amphetamine,88.15666666666668,waste water
LT,2022,cocaine,113.89999999999999,waste water
LT,2022,methamphetamine,12.506666666666668,waste water
LV,2020,MDMA,42.98,waste water
LV,2020,amphetamine,53.45,waste water
LV,2020,cocaine,78.63,waste water
LV,2020,methamphetamine,76.82,waste water
LV,2021,MDMA,29.05,waste water
LV,2021,amphetamine,40.96,waste water
LV,2021,cocaine,109.66,waste water
LV,2021,methamphetamine,225.56,waste water
LV,2022,MDMA,33.84,waste water
